-11.961289, -75.266815
-11.961619, -75.266666
-11.961619, -75.266666
-11.961171, -75.266796
-11.961569, -75.266681
-11.961095, -75.266898
-11.961575, -75.266692
-11.961633, -75.266667
-11.96145, -75.266752
-11.961424, -75.266752
-11.961256, -75.266824
-11.961251, -75.266816
-11.961232, -75.266801
-11.961233, -75.266802
-11.961227, -75.266805
-11.961201, -75.266872
-11.961192, -75.2669
-11.961203, -75.266897
-11.961236, -75.266892
-11.961265, -75.266876
-11.96125, -75.266905
-11.961274, -75.266918
-11.961273, -75.266905
-11.961259, -75.266985
-11.961271, -75.266969
-11.961247, -75.266991
-11.961213, -75.267032
-11.961252, -75.267053
-11.961253, -75.267085
-11.961279, -75.267055
-11.961321, -75.267013
-11.961354, -75.267003
-11.961389, -75.266979
-11.961407, -75.266952
-11.961379, -75.266924
-11.961359, -75.266911
-11.961337, -75.266904
-11.961333, -75.266916
-11.961346, -75.266911
-11.961336, -75.266909
-11.961353, -75.266912
-11.961332, -75.266916
-11.961309, -75.266922
-11.961323, -75.266928
-11.961343, -75.266951
-11.961352, -75.266962
-11.961323, -75.266983
-11.961329, -75.267001
-11.961321, -75.266998
